Bag,Day,TN,TP
1,0,369.04,8.30
2,0,327.82,8.59
3,0,434.68,9.13
4,0,404.36,9.22
5,0,357.26,8.61
6,0,369.04,10.34
7,0,392.59,8.33
8,0,469.13,8.75
9,0,404.36,8.65
10,0,404.36,8.59
11,0,410.25,9.55
12,0,433.80,8.80
13,0,468.61,8.70
14,0,691.21,8.82
15,0,386.70,7.06
16,0,469.13,8.05
17,0,404.36,9.59
18,0,445.58,9.64
19,0,533.90,7.63
20,0,475.02,8.42
21,0,410.25,8.05
22,0,545.67,8.54
23,0,357.26,8.00
24,0,351.37,7.76
25,0,339.60,9.36
26,0,380.81,9.81
27,0,392.59,8.58
28,0,404.36,19.27
29,0,410.25,5.19
30,0,391.53,9.43
31,0,369.04,19.98
32,0,374.93,11.63
