,Raft,Nutrients,Mixing,Spores,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,UninfEggRatio,InfEggRatio,EdChl,TotChl,TP,TN,SizeUninf,SESizeUninf,SizeInf,SESizeInf,C,N,P,CN,CP,NP,Light,SRP,ad320,InfDensity,UninfDensity,TotalDensity,PropJuv,PrevTotal,PrevAdult,InfCount,UninfCount,AdultCount,TotalCount,Trt,LogTotDens,LogUninfDens,LogInfDens,LogTotChl,LogEdChl,InedChl,LogInedChl,PropInedChl,LogTP,LogTN,LogC,LogN,LogP
1,1,Low,Mix,Spores,1,1,1,26,45,0,0,0,0,0,1,NA,3.9,4.97,10.72754465,546.61,NA,NA,NA,NA,678.030303,50.13774105,3.492057021,15.77073189,500.7182273,31.74984083,NA,NA,NA,75.3396180316664,5349.11288024832,5349.11288024832,0.633802816901408,0,0,0,71,26,71,Low Mix Spores,8.58468600936492,8.58468600936492,4.3220061323236,1.60341984010854,1.3609765531356,1.07,0.0676586484738147,0.215291750503018,2.37281470007483,6.30373556824063,6.51919198163188,3.91477403886322,1.25049096688184
2,1,High,Mix,No,2,1,1,19,62,0,0,0,0,0,1.105263158,NA,3.83,6.87,12.388314,483.985,NA,NA,NA,NA,481.1432507,50.13774105,3.762209125,11.19121251,329.8048889,29.46998715,NA,NA,NA,75.3396180316664,6102.50906056498,6102.50906056498,0.765432098765432,0,0,0,81,19,81,High Mix No,8.71645528699604,8.71645528699604,4.3220061323236,1.92716410623426,1.34286480319255,3.04,1.11185751541813,0.442503639010189,2.51675360889983,6.18205391450084,6.17616504426975,3.91477403886322,1.3250063181164
4,1,High,No,No,4,1,1,44,63,0,0,0,0,0,1.068181818,NA,2.68,4.13,8.218722878,421.36,NA,NA,NA,NA,334.5865633,35.83979328,2.779481906,10.88705727,310.4347059,28.51410608,NA,NA,NA,75.3396180316664,8061.33912938831,8061.33912938831,0.588785046728972,0,0,0,107,44,107,High No No,8.99483496678551,8.99483496678551,4.3220061323236,1.41827740697294,0.985816794522765,1.45,0.371563556432483,0.351089588377724,2.10641482935738,6.04348757517513,5.8128956302449,3.57905882023295,1.02226454558628
5,1,Low,Mix,No,5,1,1,35,43,0,0,0,0,0,1.142857143,NA,2.79,3.69,9.985498776,421.36,NA,NA,NA,NA,511.7302452,29.75476839,2.42906722,20.05635553,543.2843271,27.08788874,NA,NA,NA,75.3396180316664,5876.49020646998,5876.49020646998,0.551282051282051,0,0,0,78,35,78,Low Mix No,8.67871495901319,8.67871495901319,4.3220061323236,1.30562645805244,1.02604159583327,0.9,-0.105360515657826,0.24390243902439,2.30113391814899,6.04348757517513,6.23779762135371,3.39298940116466,0.887507323577012
6,1,High,Mix,Spores,6,1,1,48,75,0,0,0,0,0,1.0625,NA,2.72,3.77,7.582683554,358.735,NA,NA,NA,NA,301.4760638,31.35638298,3.368726712,11.21229159,230.7877109,20.58345602,NA,NA,NA,75.3396180316664,9266.77301789497,9266.77301789497,0.609756097560976,0,0,0,123,48,123,High Mix Spores,9.13419048769602,9.13419048769602,4.3220061323236,1.32707500145992,1.00063188030791,1.05,0.0487901641694318,0.278514588859416,2.02586716787085,5.882583954353,5.70869062263423,3.44541785018223,1.21453484270137
7,1,Low,No,No,7,1,1,38,68,0,0,0,0,0,1.394736842,NA,2.93,4.15,8.943100996,421.36,NA,NA,NA,NA,248.8108883,22.03438395,3.274760763,13.16848994,195.9365365,14.87919552,NA,NA,NA,75.3396180316664,7985.99951135664,7985.99951135664,0.641509433962264,0,0,0,106,38,106,Low No No,8.98544522643567,8.98544522643567,4.3220061323236,1.42310833424261,1.07500242302898,1.22,0.198850858745165,0.293975903614458,2.1908823966023,6.04348757517513,5.51669312317111,3.09260414010871,1.18624481695332
8,1,High,No,Spores,8,1,1,24,81,0,0,0,0,0,1.416666667,NA,2.56,3.39,10.51553155,406.146,NA,NA,NA,NA,382.0516304,31.54891304,3.611472081,14.12229125,272.8119683,19.31782623,NA,NA,NA,75.3396180316664,7910.65989332497,7910.65989332497,0.771428571428571,0,0,0,105,24,105,High No Spores,8.97596648248112,8.97596648248112,4.3220061323236,1.22082992139236,0.940007258491471,0.83,-0.186329578191493,0.244837758112094,2.35285335946994,6.00671270087035,5.94555575758872,3.45153913641276,1.28411546789602
10,2,Low,No,Spores,10,1,1,35,62,0,0,0,0,0,1.142857143,NA,3.23,4.19,6.999647508,421.36,NA,NA,NA,NA,286.6531165,30.29810298,2.663982093,11.03338412,277.4923342,25.15024686,NA,NA,NA,75.3396180316664,7307.94294907164,7307.94294907164,0.639175257731959,0,0,0,97,35,97,Low No Spores,8.89671711082698,8.89671711082698,4.3220061323236,1.43270073393405,1.17248213723457,0.96,-0.0408219945202547,0.229116945107399,1.94585979178741,6.04348757517513,5.65827283143902,3.41108510263457,0.979822030808704
11,2,High,Mix,Spores,11,1,1,41,67,0,0,0,0,1,1.43902439,NA,3.2,4.11,8.483739262,421.36,NA,NA,NA,NA,346.45,36.86666667,3.478353653,10.95908262,256.8576196,23.43787601,NA,NA,NA,75.3396180316664,8136.67874741997,8136.67874741997,0.62037037037037,0,0,0,108,41,108,High Mix Spores,9.00413735944782,9.00413735944782,4.3220061323236,1.41342302850814,1.16315080980568,0.91,-0.0943106794712412,0.221411192214112,2.13815130332117,6.04348757517513,5.84773850807339,3.60730780051054,1.24655909362645
12,2,Low,Mix,No,12,1,1,23,78,1,0,0,0,2,1.47826087,NA,2.95,4.13,6.575621292,421.36,NA,NA,NA,NA,298.9728682,30.50387597,2.718795563,11.42994812,283.5834285,24.81056131,NA,NA,NA,75.3396180316664,7684.64103922997,7684.64103922997,0.764705882352941,0,0,0,102,23,102,Low Mix No,8.94697894560787,8.94697894560787,4.3220061323236,1.41827740697294,1.08180517035173,1.18,0.165514438477573,0.285714285714286,1.88336906667949,6.04348757517513,5.70035282746738,3.41785375652287,1.00018897451903
