,Raft,Nutrients,Mixing,Spores,Trt,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,EdChl,TP,TN,InfDensity,UninfDensity,TotalDensity,PrevTotal,InfCount,UninfCount,TotalCount,LogTotDens,LogUninfDens,LogInfDens,LogEdChl,LogTP,LogTN
1,1,Low,Mix,Spores,Low Mix Spores,1,1,1,26,45,0,0,0,0,0,3.9,10.72754465,546.61,75.33961803,5349.11288,5349.11288,0,0,71,71,8.584686009,8.584686009,4.322006132,1.360976553,2.3728147,6.303735568
2,1,High,Mix,No,High Mix No,2,1,1,19,62,0,0,0,0,0,3.83,12.388314,483.985,75.33961803,6102.509061,6102.509061,0,0,81,81,8.716455287,8.716455287,4.322006132,1.342864803,2.516753609,6.182053915
4,1,High,No,No,High No No,4,1,1,44,63,0,0,0,0,0,2.68,8.218722878,421.36,75.33961803,8061.339129,8061.339129,0,0,107,107,8.994834967,8.994834967,4.322006132,0.985816795,2.106414829,6.043487575
5,1,Low,Mix,No,Low Mix No,5,1,1,35,43,0,0,0,0,0,2.79,9.985498776,421.36,75.33961803,5876.490206,5876.490206,0,0,78,78,8.678714959,8.678714959,4.322006132,1.026041596,2.301133918,6.043487575
6,1,High,Mix,Spores,High Mix Spores,6,1,1,48,75,0,0,0,0,0,2.72,7.582683554,358.735,75.33961803,9266.773018,9266.773018,0,0,123,123,9.134190488,9.134190488,4.322006132,1.00063188,2.025867168,5.882583954
7,1,Low,No,No,Low No No,7,1,1,38,68,0,0,0,0,0,2.93,8.943100996,421.36,75.33961803,7985.999511,7985.999511,0,0,106,106,8.985445226,8.985445226,4.322006132,1.075002423,2.190882397,6.043487575
8,1,High,No,Spores,High No Spores,8,1,1,24,81,0,0,0,0,0,2.56,10.51553155,406.146,75.33961803,7910.659893,7910.659893,0,0,105,105,8.975966482,8.975966482,4.322006132,0.940007258,2.352853359,6.006712701
10,2,Low,No,Spores,Low No Spores,10,1,1,35,62,0,0,0,0,0,3.23,6.999647508,421.36,75.33961803,7307.942949,7307.942949,0,0,97,97,8.896717111,8.896717111,4.322006132,1.172482137,1.945859792,6.043487575
11,2,High,Mix,Spores,High Mix Spores,11,1,1,41,67,0,0,0,0,1,3.2,8.483739262,421.36,75.33961803,8136.678747,8136.678747,0,0,108,108,9.004137359,9.004137359,4.322006132,1.16315081,2.138151303,6.043487575
12,2,Low,Mix,No,Low Mix No,12,1,1,23,78,1,0,0,0,2,2.95,6.575621292,421.36,75.33961803,7684.641039,7684.641039,0,0,102,102,8.946978946,8.946978946,4.322006132,1.08180517,1.883369067,6.043487575
13,2,High,No,Spores,High No Spores,13,1,1,21,52,0,0,0,0,0,2.77,7.971374252,421.36,75.33961803,5499.792116,5499.792116,0,0,73,73,8.612465573,8.612465573,4.322006132,1.01884732,2.075856906,6.043487575
15,2,High,Mix,No,High Mix No,15,1,1,44,57,0,0,0,0,1,2.37,7.998074135,358.735,75.33961803,7609.301421,7609.301421,0,0,101,101,8.937126649,8.937126649,4.322006132,0.862889955,2.07920078,5.882583954
16,2,Low,Mix,Spores,Low Mix Spores,16,1,1,57,71,0,0,0,0,0,3.1,8.456965367,358.735,75.33961803,9643.471108,9643.471108,0,0,128,128,9.174036396,9.174036396,4.322006132,1.131402111,2.134990406,5.882583954
17,3,Low,No,No,Low No No,17,1,1,16,41,0,0,0,0,0,2.54,8.068672786,421.36,75.33961803,4294.358228,4294.358228,0,0,57,57,8.3650574,8.3650574,4.322006132,0.932164081,2.087989006,6.043487575
18,3,High,No,Spores,High No Spores,18,1,1,16,37,0,0,0,0,0,3.34,9.004104913,421.36,75.33961803,3992.999756,3992.999756,0,0,53,53,8.292298046,8.292298046,4.322006132,1.205970807,2.197680575,6.043487575
19,3,Low,Mix,No,Low Mix No,19,1,1,24,41,0,0,0,0,1,2.49,8.086322449,546.61,75.33961803,4897.075172,4897.075172,0,0,65,65,8.496393402,8.496393402,4.322006132,0.91228271,2.090174048,6.303735568
22,3,High,No,No,High No No,22,1,1,12,26,0,0,0,0,0,2.74,7.945125146,432.6763,75.33961803,2862.905485,2862.905485,0,0,38,38,7.959592292,7.959592292,4.322006132,1.00795792,2.072558551,6.069989873
23,3,Low,Mix,Spores,Low Mix Spores,23,1,1,7,30,0,0,0,0,0,2.49,8.47461503,421.36,75.33961803,2787.565867,2787.565867,0,0,37,37,7.932924045,7.932924045,4.322006132,0.91228271,2.137075228,6.043487575
24,3,High,Mix,No,High Mix No,24,1,1,4,11,0,0,0,0,0,2.99,9.780690075,358.735,75.33961803,1130.09427,1130.09427,0,0,15,15,7.030056333,7.030056333,4.322006132,1.095273387,2.280410041,5.882583954
25,4,Low,No,Spores,Low No Spores,25,1,1,10,25,0,0,0,0,0,2.69,7.821577507,421.36,75.33961803,2636.886631,2636.886631,0,0,35,35,7.877354194,7.877354194,4.322006132,0.989541194,2.056886261,6.043487575
26,4,High,No,No,High No No,26,1,1,11,32,0,0,0,0,0,3.53,7.874526495,358.735,75.33961803,3239.603575,3239.603575,0,0,43,43,8.083206248,8.083206248,4.322006132,1.261297871,2.063633055,5.882583954
27,4,Low,Mix,No,Low Mix No,27,1,1,4,25,0,0,0,0,0,3.33,10.38077861,438.63,75.33961803,2184.848923,2184.848923,0,0,29,29,7.689301962,7.689301962,4.322006132,1.202972304,2.339955886,6.083656233
28,4,High,Mix,Spores,High Mix Spores,28,1,1,8,22,0,0,0,0,1,3.25,7.556832566,367.1856,75.33961803,2260.188541,2260.188541,0,0,30,30,7.723203514,7.723203514,4.322006132,1.178654996,2.02245213,5.905867442
29,4,Low,No,No,Low No No,29,1,1,7,27,0,0,0,0,1,3.48,8.951155924,421.36,75.33961803,2561.547013,2561.547013,0,0,34,34,7.848366657,7.848366657,4.322006132,1.247032294,2.191782677,6.043487575
30,4,Low,Mix,Spores,Low Mix Spores,30,1,1,9,24,0,0,0,0,0,6.37,10.96321748,414.8152,75.33961803,2486.207395,2486.207395,0,0,33,33,7.818513694,7.818513694,4.322006132,1.85159947,2.394545804,6.02783312
31,4,High,No,Spores,High No Spores,31,1,1,16,18,0,0,0,0,0,5.37,11.59860534,444.5837,75.33961803,2561.547013,2561.547013,0,0,34,34,7.848366657,7.848366657,4.322006132,1.680827909,2.450884862,6.097138339
32,4,High,Mix,No,High Mix No,32,1,1,6,15,0,0,0,0,0,3.5,7.945125146,483.985,75.33961803,1582.131979,1582.131979,0,0,21,21,7.36652857,7.36652857,4.322006132,1.252762968,2.072558551,6.182053915
33,1,Low,Mix,Spores,Low Mix Spores,1,3,2,126,122,0,0,0,0,0,NA,NA,NA,75.33961803,18684.22527,18684.22527,0,0,248,248,9.835434878,9.835434878,4.322006132,NA,NA,NA
34,1,High,Mix,No,High Mix No,2,3,2,124,222,0,0,0,0,1,NA,NA,NA,75.33961803,26067.50784,26067.50784,0,0,346,346,10.16844491,10.16844491,4.322006132,NA,NA,NA
36,1,High,No,No,High No No,4,3,2,121,154,0,0,0,0,0,NA,NA,NA,75.33961803,20718.39496,20718.39496,0,0,275,275,9.93877723,9.93877723,4.322006132,NA,NA,NA
37,1,Low,Mix,No,Low Mix No,5,3,2,95,86,1,0,0,0,0,NA,NA,NA,75.33961803,13711.81048,13711.81048,0,0,182,182,9.526012819,9.526012819,4.322006132,NA,NA,NA
38,1,High,Mix,Spores,High Mix Spores,6,3,2,105,155,0,0,0,0,0,NA,NA,NA,75.33961803,19588.30069,19588.30069,0,0,260,260,9.882687763,9.882687763,4.322006132,NA,NA,NA
39,1,Low,No,No,Low No No,7,3,2,58,144,0,0,0,0,0,NA,NA,NA,75.33961803,15218.60284,15218.60284,0,0,202,202,9.63027383,9.63027383,4.322006132,NA,NA,NA
40,1,High,No,Spores,High No Spores,8,3,2,29,89,0,0,0,0,0,NA,NA,NA,75.33961803,8890.074928,8890.074928,0,0,118,118,9.092690757,9.092690757,4.322006132,NA,NA,NA
42,2,Low,No,Spores,Low No Spores,10,3,2,30,85,0,0,0,0,0,NA,NA,NA,75.33961803,8664.056074,8664.056074,0,0,115,115,9.066938261,9.066938261,4.322006132,NA,NA,NA
43,2,High,Mix,Spores,High Mix Spores,11,3,2,106,107,0,0,0,0,1,NA,NA,NA,75.33961803,16047.33864,16047.33864,0,0,213,213,9.683298298,9.683298298,4.322006132,NA,NA,NA
44,2,Low,Mix,No,Low Mix No,12,3,2,107,158,0,0,0,0,2,NA,NA,NA,75.33961803,19964.99878,19964.99878,0,0,265,265,9.901735958,9.901735958,4.322006132,NA,NA,NA
45,2,High,No,Spores,High No Spores,13,3,2,61,118,0,0,0,0,1,NA,NA,NA,75.33961803,13485.79163,13485.79163,0,0,179,179,9.509391938,9.509391938,4.322006132,NA,NA,NA
47,2,High,Mix,No,High Mix No,15,3,2,59,96,0,0,0,0,1,NA,NA,NA,75.33961803,11677.64079,11677.64079,0,0,155,155,9.365431249,9.365431249,4.322006132,NA,NA,NA
48,2,Low,Mix,Spores,Low Mix Spores,16,3,2,24,58,0,0,0,0,0,NA,NA,NA,75.33961803,6177.848679,6177.848679,0,0,82,82,8.72872538,8.72872538,4.322006132,NA,NA,NA
49,3,Low,No,No,Low No No,17,3,2,52,97,0,0,0,0,0,NA,NA,NA,75.33961803,11225.60309,11225.60309,0,0,149,149,9.325952438,9.325952438,4.322006132,NA,NA,NA
50,3,High,No,Spores,High No Spores,18,3,2,71,96,0,0,0,0,0,NA,NA,NA,75.33961803,12581.71621,12581.71621,0,0,167,167,9.439999945,9.439999945,4.322006132,NA,NA,NA
51,3,Low,Mix,No,Low Mix No,19,3,2,60,69,0,0,0,0,1,NA,NA,NA,75.33961803,9718.810726,9718.810726,0,0,129,129,9.181818537,9.181818537,4.322006132,NA,NA,NA
54,3,High,No,No,High No No,22,3,2,57,96,0,0,0,0,0,NA,NA,NA,75.33961803,11526.96156,11526.96156,0,0,153,153,9.352444054,9.352444054,4.322006132,NA,NA,NA
55,3,Low,Mix,Spores,Low Mix Spores,23,3,2,54,60,0,0,0,0,0,NA,NA,NA,75.33961803,8588.716456,8588.716456,0,0,114,114,9.058204581,9.058204581,4.322006132,NA,NA,NA
